label,slope,intercept
44ca,109.0103617105431,-6.091990292932354
48ti,10.571279662354202,-0.5443293239202182
59co,1.0865455703654123,-0.4058583195453935
209bi,0.31665386740466717,-0.43464552830106734
98mo,1.7566931576629787,-0.4950109678492169
25mg,329.7819311092154,-5.84235199110571
63cu,0.296131621632055,1.4699888173259645
52cr,2.204281841603038,-0.5242524518631405
65cu,0.6028075828158408,1.4599328324671217
74g,9.470575806247055,-0.48213864594500716
66zn,9.743325310135623,-5.429545219860621
51v,3.332363743730368,-1.2014300157871416
56f,2.320855160868699,-4.317312148253301
75a,2.3237985080763757,-0.46120864102838516
9b,98.73822187568976,-5.982537820432113
60ni,4.075611153128282,-0.5591402866379563
27al,179.25268805255527,-5.725272007216586
23na,20.440951051666488,-6.839243559282312
90zr,1.8864886276675297,-0.4197538623030272
45sc,11.166927656931648,-4.295918367133709
55mn,4.6452213028459415,-0.4832295184209739
105p,1.808441533978687,-0.4949382586750398
71ga,8.62137104749632,-0.45752365994935995
