,retm2551_20,retm2551_20_dot1ppb,sablind241_10,samp21_10000,samp31_10000,sapci41_10000,sapci51_10000,sapci61_10000,sablankpph1_10,sapph21_10000,sapph31_10000,sapp41_10000,sapp51_10000,sapp51_10000_dot1ppb,saapblank1_10,sacap41_10000,sacap51_10000,sacap61_10000,saram41_10000,saram51_10000,saram51_10000_dot1ppb,saram61_10000,sacpu41_10000,sacpu4s1_10000,sacpu51_10000,sacpu5s1_10000,sasub171_10000,sasub181_10000,sasub191_10000,sasub201_10000,sasub211_10000,sasub221_10000,sasub231_10000,sasub231_10000_dot1ppb,sablindind1_10,sasubs171_10000,sasubs181_10000,sacf11_10000,saicf21_10000,saicm11_10000,saicm21_10000,sans11_10000,sans21_10000,saind41_10000,saind41_10000_dot1ppb,sand51_10000,saramblank1_10,retm2551_20_dp,retm2551_20_dot1ppb_dp,slope,intercept
56F,2.230985497080759,13.743708103705686,115.45021304104152,1.0487092139044965,1.4220976736737285,3.221298081727779,2.869422944186659,2.5642611394427117,88.66101806859638,2.1485213895970574,2.053357931672185,57.72432126773551,57.87867766409242,76.11374571138181,92.22354951716926,11.659083960323992,9.565915292747171,12.509874405653685,1.0736445454619046,1.2849353146437101,8.421224918431674,0.8484957859149838,0.7599577067580978,5.968517392984615,0.5850132619550804,1.321588277386851,40.23793149828751,46.71804153975662,38.52855430365466,37.557800604727625,40.4747868128183,46.06875759973413,39.442411493828295,49.450280700706706,90.74136602063153,41.06911029979856,40.3236020893207,4.6582464384469775,4.380649993947356,6.763282346841222,7.336655980261468,2.421079872591487,2.5766571967426177,589.571581770666,589.9252594862012,573.1320318399961,105.17627038890636,3.2672836925492605,13.917371129315503,2.320855160868699,-4.317312148253301
59CO,1.7286787928076488,2.9468056981504955,0.19221434840374574,0.004306538152909682,0.005824383774168244,0.017922110570322388,0.00971682604639709,0.00853256120861558,0.17326700492876934,0.006133983160079692,0.005826087571302506,0.3161899290340952,0.5143863780029843,1.8190585076759067,0.17969777323758543,0.006611954334362697,0.005198317169499534,0.0063212472377894005,0.005315120724990516,0.006679582391353858,0.7109808965734637,0.009063467852786519,0.002765838824864461,0.021098652526174207,0.0026336501591197933,0.003696441761087423,1.0499399654523427,1.017264593856848,0.7839576661937838,0.8665795421659065,0.7129570627300149,0.8790048352839916,0.8083675602321356,1.7691667472321755,0.17618540598286622,0.8481126783018191,0.9226704255153165,0.017901850104168258,0.0307618779302473,0.02094422839230912,0.024918482463817167,0.010768437342189723,0.014205536290136185,0.05026206511074689,1.2104079372551402,0.04559846842547008,0.17353565115703565,1.4760633858868137,2.971792174787154,1.0865455703654123,-0.4058583195453935
60NI,1.0279367126616417,2.333924249784226,20.45102525356306,5.8495061734325935,6.068276291010172,10.454138969635055,9.635452465485292,7.837041208909457,18.31663048603546,2.0946283719761585,1.661373425582414,4.307387116268378,4.413000319496669,6.234544747947215,19.158280525723924,0.6781313135288233,0.17504562959279232,0.20660566309940825,10.478771448193694,10.454736593420316,15.442972933168372,9.391312526008559,0.9330118408747589,3.4737823579562477,0.875458875269953,3.5463882318668722,5.856416444092361,7.399017073903992,5.9138062499820725,5.789544887951665,6.138325272179211,7.252115204842594,6.075412030593616,7.237506296654087,18.91022634247376,6.265431366307392,6.151591917989722,1.8209179632069499,3.3275214055370044,2.736312923417623,2.5928489967062402,4.790307737841641,4.91853763059532,0.33491689866173296,1.5057144112534904,0.31575253357824595,18.307284772943326,0.9738397110920021,2.373127191030842,4.075611153128282,-0.5591402866379563
63CU,0.37501185620426586,0.637962891823164,0.37224176063910314,108.7277791063688,123.1835689499258,134.52773508936113,118.27685540417829,117.41270779789521,0.4915869581938775,16.22605642153211,10.846935739360013,12.774543202363905,14.175685716656096,15.880142708997987,0.5667574821716321,1.0953372839951045,1.0524873082708415,1.2506519364441113,117.19013110494205,118.97616850841557,169.72051278932577,120.36013150380529,8.56144276484606,9.751755441107342,7.7836489628500205,11.602814915184116,34.49834793299844,40.78589787317119,37.124571333459585,33.02941767453132,32.97194085185547,36.11103498622263,32.955668891361015,33.770887965723375,0.6650424388483406,73.45372859810365,78.60443341019509,76.44399569352355,129.12845890499113,44.467545964301564,43.6127233132098,42.62545198323439,42.53296445813931,58.5219328282011,56.326586290705166,55.32023058742747,2.17977916963065,0.3861299798412205,0.6372390840276516,0.296131621632055,1.4699888173259645
65CU,0.3790466559969911,0.6463822277289901,0.3782157833676979,108.65978116558487,124.55127475685703,133.55014361987097,118.91217894838411,116.86726924157843,0.5017017725463827,16.147292984272696,10.844224390570357,12.677770514309465,14.19082550584779,15.945133054589519,0.5796607994196089,1.1248017332387605,1.0731779978572686,1.2680138892194077,117.96922862188923,118.80814417535056,168.80818128033494,120.28606323247844,8.572295276008505,9.868322026834372,7.807911357471063,11.554014075831269,34.4107106066356,40.45860006243869,37.33061758978748,33.25004247711867,33.2049326089426,36.43377581656798,32.921129242550265,33.809231754725104,0.6698853021338883,73.91063266095352,78.76985635714327,76.87851658161107,129.6783730544253,44.363978700114295,43.50819646417535,42.58940537228173,42.64804546644233,58.420043461932515,56.732529414188676,55.497148797106135,2.213265247947742,0.38045729441171694,0.6478164863166311,0.6028075828158408,1.4599328324671217
66ZN,3.5464869637304703,16.17168591776323,9.754608995825324,279.51858753929946,317.2009340453162,208.51657044594756,189.00281899778523,176.53720635927712,25.054158813237787,45.9446623101179,32.00790656256358,14.811019939477276,16.45704273192963,31.834092344292564,18.89996599028913,1.2677856186648395,1.7971854295087013,1.3227437447993737,2.926691817614348,2.4636653351194386,11.087586226983147,2.036738103457953,0.08006539106157246,0.5733715981128852,0.0514005036641562,0.8710901516733373,1.3099491423905225,2.7092271648214137,0.6840550870131527,0.8484917063563473,0.5779918076428042,0.4596555108723706,0.5540543583429949,10.707817858852383,18.664998756999058,0.8679973377311508,1.07995489151176,1.4241628970195561,2.4537969772194588,0.5637340625396831,0.6098616685530605,3.064476800504806,3.4916309804423458,0.2566403639603825,12.80249621564103,0.586853083735977,17.17285328863021,2.049753923888139,16.21542373710625,9.743325310135623,-5.429545219860621
71GA,0.007813708851685806,1.2225167128612011,0.08885564938272784,0.0009521230242890346,0.0005879644074237629,0.0011205759182224713,0.00030716406767174935,0.0005811306999351298,0.043390807212103,0.004015321530260585,0.004634061585422392,0.007916995166378624,0.0055302939779138345,1.2901165527101794,0.02768412887665814,0.06259878856290985,0.05161904206787102,0.053236800502975364,0.00032629086279632475,0.0002434883939367795,0.7490287992009214,0.0003196170341338794,0.00023039250191961866,0.00527255070206909,0.0002642938321224095,0.0037178636638819052,0.008000188432787677,0.006751836430285533,0.0072830121624793695,0.005618366018433372,0.007720874462293587,0.006959854450214368,0.0076417445016787105,0.981602148125949,0.015602917992461706,0.005612510497419473,0.005668274588978234,0.0004556227634434211,0.00012076786248367257,0.0003359407353602975,0.0004473086656892817,0.0034611914882097953,0.004620269478455335,0.014122661492049524,1.17319937016608,0.012423102305958932,0.13325831195245655,0.0,1.2106370141616523,8.62137104749632,-0.45752365994935995
74G,0.007952229039009152,1.220930563212877,0.00798214556855842,0.001510756016336243,0.0011625819872696597,0.0018464304884456785,0.0010122595139918193,0.000744767396764566,0.004487482704644861,0.0005346459283377767,0.0013657467680334811,0.0012980306418371454,0.0009047901568265412,1.2979865821857777,0.006516612115278053,0.001571744376611408,0.001589800985395193,0.0010874363658096944,0.00044803827065726407,0.0012482033452320652,0.7322513559507369,0.00149217199527179,8.858014636968738e-05,0.0016707382120264064,9.072706166377797e-05,0.0024958207720344326,0.0014306351442751888,0.0012950119302340616,0.001315130362294017,0.0006384586134654087,0.0011308488420071394,0.000684661667551251,0.000783480962756743,0.9488116877090244,0.0047463949030644385,0.0013451646750885853,0.0007924754829095824,0.0006256269879336339,0.0002653269857680439,0.0004920411820205811,0.0004913683576954397,0.00043452761193286894,0.0003540948582481434,0.0034021271552121123,1.1509857943905804,0.0038261902706563074,0.003962695044484782,0.02459689597830308,1.2267676995047563,9.470575806247055,-0.48213864594500716
75A,0.18858827547337123,1.4295006369555698,0.13477813274576741,0.007157302602069618,0.007955723517575097,0.00697715278775326,0.005519549974607486,0.0044119774079445185,0.03187312288233973,0.004886704926650779,0.004417424193856696,0.005127841278193391,0.0038693081404607694,1.3084047775204386,0.01899997274856365,0.0038887453169032605,0.003835894205776344,0.0033204921097250437,0.0029902498947716218,0.00409093889958085,0.7396850486416963,0.004156726708975055,0.00039433523622994793,0.002596353489776179,0.00023152251906244687,0.0026722993630746176,0.0035354414658283445,0.003986423703545985,0.0032807326287214826,0.0030287450214683516,0.004162163088468628,0.0034999186614252335,0.003597702883525991,0.9717109941779454,0.008605335946815737,0.003548192885565671,0.0042223587270942275,0.002271957404982928,0.0028971065674569174,0.001931720218279863,0.0022304978342835404,0.0017592360137162972,0.0022300382018744045,0.0041405262449139245,1.1592736920662414,0.00641539206778193,0.22197095819175205,0.14484855936380822,1.3862655341562766,2.3237985080763757,-0.46120864102838516
90ZR,0.007090513262283817,1.1338485181286835,0.5258289546690332,0.0030556519967950718,0.0022128818113095194,0.0053698948718626455,0.004682478406278003,0.0038148292996270975,0.24958257567973277,0.014883400550734826,0.011376758203694286,0.018797734157572642,0.014933520139444356,1.2572761447509437,0.16315241618939605,0.005009358182865738,0.003457098986632969,0.005872619039247429,0.0015885978166995949,0.0012964581038706323,0.6887093776440685,0.004650848529147124,0.0018678540913756217,0.016684818541337226,0.0014403967436935337,0.018598495241264657,0.08865791321957112,0.09843425648410906,0.10021464194696941,0.09755716605550548,0.11602160795639858,0.12091892970451171,0.11579419349323103,1.0803457837547148,0.08604401932613755,0.11023112410169791,0.10832632774847045,0.009695657503663187,0.006157263351576057,0.004508575298304466,0.0037438468259852645,0.008460893732436733,0.007852836227438518,0.004093236049516567,1.1003751671804018,0.00635134314621278,0.7815372165937048,0.05389541335837663,1.1154372610774492,1.8864886276675297,-0.4197538623030272
98MO,1.718072716794075,3.8847123250079445,1.0750649235433043,0.08146870309433685,0.07387717666702003,0.06147055520154075,0.04448161881723992,0.04572934031896705,0.6921185181800532,0.05548961683094252,0.04691499221480488,0.08040063476402813,0.08006164275227866,2.32801083133791,0.7555734792004422,0.044243667545917,0.03418408880955413,0.03366416723259541,0.017253365069153304,0.0205901864079935,1.25450117891791,0.041683002825741305,0.021477816198069814,0.047810875562801676,0.012742060843959773,0.032786544267582596,0.5069106373587873,0.606392319954747,0.5112206228166823,0.5127508233894432,0.5709997907474138,0.6005393694371223,0.5431567316067534,2.2470060398042984,1.0253271905428767,0.5207511748304187,0.5263662825342496,0.0710034979832274,0.054681542390371374,0.07277001375696078,0.0786186817313071,0.13138121520118787,0.14636322111607897,0.11883070829018404,2.1409813594251466,0.1514796560237931,0.4611015420547241,1.213679135293487,3.6343467159899925,1.7566931576629787,-0.4950109678492169
105P,0.018487571483691092,1.2472027440984683,0.0260995679746867,0.005636574058576606,0.005377349682527678,0.003901928970302909,0.0033504540578341738,0.003311618498511599,0.01607297226970108,0.0038540106905808457,0.002987290678216765,0.008675308127733813,0.006590101588082987,1.314785228911091,0.01817792053250905,0.0024760828858505428,0.0020744555600844617,0.001822708407374121,0.0011464326177317394,0.0013279464969272307,0.7248029932453441,0.0014749651016088237,0.0018799874439423812,0.0016164400137390715,0.0014033278885245018,0.0017330435524989416,0.003297748450834151,0.003731803369168512,0.003306545843125822,0.0033323839893331696,0.004588740811012755,0.004270816867689604,0.0037829775584134625,0.9845374559533707,0.01402332158940105,0.0045165517530146755,0.0035453702656634938,0.0013380190763010043,0.0014186269721787835,0.014540102410224194,0.016044985875439455,0.0268432149746958,0.028963060504812285,0.0015851451488199998,1.200047438445555,0.001656086003905802,0.012519974855784505,0.023484342031650823,1.2254056777865967,1.808441533978687,-0.4949382586750398
209BI,1.399129276612622,2.607423164389223,0.013223632668622623,0.0038857136221099784,0.004042743968865999,0.007231727312648021,0.006991312694161723,0.00601936932857788,0.00660210319233669,0.004978660645030709,0.004653764468177159,0.0020007805892137374,0.002022597637152295,1.3093781962424136,0.011031785813703624,0.0034334766059877573,0.0030875239627164612,0.0027269748805616644,0.008470558362310103,0.008332584736001996,0.7145421920176874,0.009016437951670385,0.00015274182039777602,0.0012475969960992997,8.008518158563466e-05,0.001255540577440083,0.019468007792358615,0.021062258146748027,0.021245465060903832,0.01732194547536543,0.023861856636168677,0.02000279653202231,0.017901711886854018,0.9975587493015164,0.012780614910432728,0.021550688450710804,0.018485850555534887,0.0022508282719137297,0.0021868173500626796,0.04481090153921161,0.05445731488853723,0.0038393072212405815,0.0038044781863639425,0.0009555216750952868,1.1618272238347902,0.0025714482278020143,0.005697491953926983,0.923790965221349,2.5926082917881796,0.31665386740466717,-0.43464552830106734
